Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
11119,0x800C,0.0037,0.1878
11120,0x800C,0.0037,0.1878
11121,0x800C,0.0037,0.1878
11122,0x800D,0.0041,0.2035
11123,0x800C,0.0037,0.1878
11124,0x800D,0.0041,0.2035
11125,0x800D,0.0041,0.2035
11126,0x800C,0.0037,0.1878
11127,0x800D,0.0041,0.2035
11128,0x800C,0.0037,0.1878
11129,0x800D,0.0041,0.2035
11130,0x800C,0.0037,0.1878
11131,0x800D,0.0041,0.2035
11132,0x800B,0.0034,0.1722
11133,0x800B,0.0034,0.1722
11134,0x800B,0.0034,0.1722
11135,0x800C,0.0037,0.1878
11136,0x800C,0.0037,0.1878
11137,0x800C,0.0037,0.1878
11138,0x800C,0.0037,0.1878
11139,0x800B,0.0034,0.1722
11140,0x800C,0.0037,0.1878
11141,0x800C,0.0037,0.1878
11142,0x800D,0.0041,0.2035
11143,0x800C,0.0037,0.1878
11144,0x800C,0.0037,0.1878
11145,0x800C,0.0037,0.1878
11146,0x800B,0.0034,0.1722
11147,0x800C,0.0037,0.1878
11148,0x800C,0.0037,0.1878
11149,0x800B,0.0034,0.1722
11150,0x800B,0.0034,0.1722
11151,0x800C,0.0037,0.1878
11152,0x800C,0.0037,0.1878
11153,0x800B,0.0034,0.1722
11154,0x800B,0.0034,0.1722
11155,0x800B,0.0034,0.1722
11156,0x800C,0.0037,0.1878
11157,0x800C,0.0037,0.1878
11158,0x800C,0.0037,0.1878
11159,0x800D,0.0041,0.2035
11160,0x800C,0.0037,0.1878
11161,0x800C,0.0037,0.1878
11162,0x800B,0.0034,0.1722
11163,0x800B,0.0034,0.1722
11164,0x800C,0.0037,0.1878
11165,0x800B,0.0034,0.1722
11166,0x800B,0.0034,0.1722
11167,0x800B,0.0034,0.1722
11168,0x800B,0.0034,0.1722
11169,0x800C,0.0037,0.1878
11170,0x800C,0.0037,0.1878
11171,0x800C,0.0037,0.1878
11172,0x800C,0.0037,0.1878
