Amostra,Codigo_Digital,Tensao_V
3084,0x7FFF,-0.0003
3085,0x8000,0.0000
3086,0x7FFF,-0.0003
3087,0x7FFF,-0.0003
3088,0x7FFF,-0.0003
3089,0x7FFF,-0.0003
3090,0x7FFF,-0.0003
3091,0x7FFF,-0.0003
3092,0x7FFF,-0.0003
3093,0x7FFF,-0.0003
3094,0x7FFF,-0.0003
3095,0x7FFF,-0.0003
3096,0x7FFF,-0.0003
3097,0x7FFF,-0.0003
3098,0x7FFF,-0.0003
3099,0x7FFF,-0.0003
3100,0x8000,0.0000
3101,0x7FFF,-0.0003
3102,0x7FFF,-0.0003
3103,0x7FFF,-0.0003
3104,0x7FFF,-0.0003
3105,0x7FFF,-0.0003
3106,0x7FFF,-0.0003
3107,0x7FFE,-0.0006
3108,0x7FFF,-0.0003
3109,0x7FFF,-0.0003
3110,0x7FFF,-0.0003
3111,0x7FFE,-0.0006
3112,0x7FFE,-0.0006
3113,0x7FFF,-0.0003
3114,0x7FFF,-0.0003
3115,0x7FFE,-0.0006
3116,0x8000,0.0000
3117,0x7FFF,-0.0003
3118,0x8000,0.0000
3119,0x7FFF,-0.0003
3120,0x8000,0.0000
3121,0x7FFE,-0.0006
3122,0x7FFF,-0.0003
3123,0x7FFF,-0.0003
3124,0x7FFE,-0.0006
3125,0x7FFF,-0.0003
3126,0x7FFF,-0.0003
3127,0x7FFF,-0.0003
3128,0x7FFF,-0.0003
3129,0x7FFF,-0.0003
3130,0x7FFE,-0.0006
3131,0x7FFF,-0.0003
3132,0x7FFF,-0.0003
3133,0x7FFF,-0.0003
3134,0x7FFF,-0.0003
3135,0x7FFF,-0.0003
3136,0x7FFF,-0.0003
3137,0x7FFF,-0.0003
3138,0x7FFF,-0.0003
3139,0x8000,0.0000
3140,0x7FFF,-0.0003
3141,0x7FFF,-0.0003
3142,0x7FFE,-0.0006
3143,0x7FFF,-0.0003
3144,0x7FFF,-0.0003
3145,0x7FFF,-0.0003
3146,0x7FFE,-0.0006
3147,0x7FFF,-0.0003
3148,0x7FFF,-0.0003
3149,0x7FFF,-0.0003
3150,0x7FFF,-0.0003
3151,0x8000,0.0000
3152,0x7FFE,-0.0006
3153,0x7FFF,-0.0003
3154,0x7FFF,-0.0003
3155,0x7FFE,-0.0006
3156,0x8000,0.0000
3157,0x7FFE,-0.0006
3158,0x7FFF,-0.0003
3159,0x7FFF,-0.0003
3160,0x8000,0.0000
3161,0x7FFF,-0.0003
3162,0x7FFF,-0.0003
3163,0x8000,0.0000
3164,0x7FFF,-0.0003
3165,0x7FFF,-0.0003
3166,0x7FFF,-0.0003
3167,0x7FFF,-0.0003
3168,0x7FFF,-0.0003
3169,0x7FFF,-0.0003
3170,0x7FFF,-0.0003
3171,0x8000,0.0000
3172,0x8000,0.0000
3173,0x7FFF,-0.0003
3174,0x7FFF,-0.0003
3175,0x7FFF,-0.0003
3176,0x7FFF,-0.0003
3177,0x7FFF,-0.0003
3178,0x8000,0.0000
3179,0x7FFF,-0.0003
3180,0x7FFF,-0.0003
3181,0x8000,0.0000
3182,0x7FFF,-0.0003
3183,0x8000,0.0000
3184,0x8000,0.0000
3185,0x7FFF,-0.0003
3186,0x7FFF,-0.0003
3187,0x7FFF,-0.0003
3188,0x7FFF,-0.0003
3189,0x8000,0.0000
3190,0x7FFF,-0.0003
3191,0x8000,0.0000
3192,0x8000,0.0000
3193,0x7FFF,-0.0003
3194,0x7FFE,-0.0006
3195,0x7FFF,-0.0003
3196,0x7FFF,-0.0003
3197,0x7FFF,-0.0003
3198,0x8000,0.0000
3199,0x8000,0.0000
3200,0x7FFF,-0.0003
3201,0x7FFF,-0.0003
3202,0x7FFF,-0.0003
3203,0x8000,0.0000
3204,0x8000,0.0000
3205,0x7FFF,-0.0003
3206,0x7FFF,-0.0003
3207,0x7FFF,-0.0003
3208,0x7FFF,-0.0003
3209,0x7FFF,-0.0003
3210,0x8000,0.0000
3211,0x7FFF,-0.0003
3212,0x7FFF,-0.0003
3213,0x7FFF,-0.0003
3214,0x7FFF,-0.0003
3215,0x7FFE,-0.0006
3216,0x7FFE,-0.0006
3217,0x7FFF,-0.0003
3218,0x8000,0.0000
3219,0x8000,0.0000
3220,0x8000,0.0000
3221,0x8000,0.0000
3222,0x7FFF,-0.0003
3223,0x7FFF,-0.0003
3224,0x7FFF,-0.0003
3225,0x8000,0.0000
3226,0x7FFF,-0.0003
3227,0x7FFF,-0.0003
3228,0x7FFF,-0.0003
3229,0x7FFF,-0.0003
3230,0x7FFF,-0.0003
3231,0x7FFF,-0.0003
3232,0x8000,0.0000
3233,0x8000,0.0000
3234,0x7FFF,-0.0003
3235,0x8000,0.0000
3236,0x7FFF,-0.0003
3237,0x7FFF,-0.0003
3238,0x7FFE,-0.0006
3239,0x7FFE,-0.0006
3240,0x7FFF,-0.0003
3241,0x8000,0.0000
3242,0x7FFE,-0.0006
3243,0x8000,0.0000
3244,0x7FFF,-0.0003
3245,0x7FFF,-0.0003
3246,0x8000,0.0000
3247,0x7FFF,-0.0003
3248,0x7FFF,-0.0003
3249,0x8000,0.0000
3250,0x7FFF,-0.0003
3251,0x7FFF,-0.0003
3252,0x7FFF,-0.0003
3253,0x7FFF,-0.0003
3254,0x7FFF,-0.0003
3255,0x7FFF,-0.0003
3256,0x7FFF,-0.0003
3257,0x8000,0.0000
3258,0x7FFF,-0.0003
3259,0x7FFF,-0.0003
3260,0x7FFE,-0.0006
3261,0x7FFF,-0.0003
3262,0x7FFF,-0.0003
3263,0x7FFF,-0.0003
3264,0x7FFF,-0.0003
3265,0x7FFE,-0.0006
3266,0x7FFF,-0.0003
3267,0x7FFF,-0.0003
3268,0x8000,0.0000
3269,0x7FFF,-0.0003
3270,0x8000,0.0000
3271,0x7FFF,-0.0003
3272,0x7FFF,-0.0003
3273,0x7FFF,-0.0003
3274,0x8000,0.0000
3275,0x7FFF,-0.0003
3276,0x7FFE,-0.0006
3277,0x7FFE,-0.0006
3278,0x7FFF,-0.0003
3279,0x8000,0.0000
3280,0x7FFF,-0.0003
3281,0x7FFF,-0.0003
3282,0x7FFF,-0.0003
3283,0x8000,0.0000
3284,0x7FFF,-0.0003
3285,0x7FFE,-0.0006
3286,0x7FFF,-0.0003
3287,0x7FFF,-0.0003
3288,0x7FFF,-0.0003
3289,0x7FFE,-0.0006
3290,0x7FFF,-0.0003
3291,0x7FFF,-0.0003
3292,0x7FFF,-0.0003
3293,0x8000,0.0000
3294,0x7FFF,-0.0003
3295,0x7FFF,-0.0003
3296,0x8000,0.0000
3297,0x8000,0.0000
3298,0x7FFF,-0.0003
3299,0x7FFF,-0.0003
3300,0x7FFF,-0.0003
3301,0x7FFF,-0.0003
