Amostra,Codigo_Digital,Tensao_V
632,0x7FFF,-0.0003
633,0x7FFF,-0.0003
634,0x7FFF,-0.0003
635,0x7FFE,-0.0006
636,0x7FFF,-0.0003
637,0x7FFF,-0.0003
638,0x8000,0.0000
639,0x7FFF,-0.0003
640,0x7FFE,-0.0006
641,0x7FFF,-0.0003
642,0x8000,0.0000
643,0x7FFF,-0.0003
644,0x7FFE,-0.0006
645,0x8000,0.0000
646,0x8000,0.0000
647,0x7FFF,-0.0003
648,0x7FFF,-0.0003
649,0x7FFF,-0.0003
650,0x7FFF,-0.0003
651,0x7FFE,-0.0006
652,0x7FFF,-0.0003
653,0x7FFF,-0.0003
654,0x7FFF,-0.0003
655,0x7FFF,-0.0003
656,0x7FFF,-0.0003
657,0x7FFE,-0.0006
658,0x7FFF,-0.0003
659,0x8000,0.0000
660,0x7FFF,-0.0003
661,0x7FFF,-0.0003
662,0x7FFF,-0.0003
663,0x7FFF,-0.0003
664,0x7FFF,-0.0003
665,0x7FFE,-0.0006
666,0x7FFE,-0.0006
667,0x7FFF,-0.0003
668,0x7FFF,-0.0003
669,0x7FFF,-0.0003
670,0x7FFF,-0.0003
671,0x8000,0.0000
672,0x7FFF,-0.0003
673,0x7FFF,-0.0003
674,0x7FFF,-0.0003
675,0x7FFF,-0.0003
676,0x7FFF,-0.0003
677,0x7FFF,-0.0003
678,0x7FFE,-0.0006
679,0x7FFF,-0.0003
680,0x7FFF,-0.0003
681,0x7FFF,-0.0003
682,0x7FFF,-0.0003
683,0x7FFF,-0.0003
684,0x7FFF,-0.0003
685,0x7FFF,-0.0003
686,0x7FFF,-0.0003
687,0x7FFF,-0.0003
688,0x8000,0.0000
689,0x8000,0.0000
690,0x7FFE,-0.0006
691,0x7FFF,-0.0003
692,0x7FFE,-0.0006
693,0x7FFF,-0.0003
694,0x7FFF,-0.0003
695,0x7FFE,-0.0006
696,0x8000,0.0000
697,0x7FFF,-0.0003
698,0x7FFF,-0.0003
699,0x7FFE,-0.0006
700,0x7FFF,-0.0003
701,0x7FFF,-0.0003
702,0x7FFF,-0.0003
703,0x7FFF,-0.0003
