Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
343,0x08FD,-9.5218,-183.5070
344,0x1BA9,-8.0264,-154.6880
345,0x35C4,-5.9368,-114.4162
346,0x6134,-2.4613,-47.4355
347,0x8F1B,1.2106,23.3313
348,0xB6D2,4.3869,84.5460
349,0xDD08,7.4423,143.4303
350,0xF3FC,9.2767,178.7833
351,0xF83B,9.6145,185.2928
352,0xECCA,8.6974,167.6191
353,0xD5E2,6.8635,132.2762
354,0xADC2,3.6528,70.3980
355,0x7FA7,-0.0356,-0.6865
356,0x57B4,-3.2309,-62.2670
357,0x2D70,-6.6108,-127.4060
358,0x12FE,-8.7247,-168.1452
359,0x080E,-9.5978,-184.9715
360,0x0D75,-9.1638,-176.6069
361,0x21A8,-7.5463,-145.4350
362,0x4374,-4.8416,-93.3089
363,0x702B,-1.2642,-24.3635
364,0x9BCF,2.2266,42.9123
365,0xC5DF,5.5905,107.7420
366,0xE57D,8.1183,156.4576
367,0xF65E,9.4667,182.4447
368,0xF7A9,9.5682,184.4013
369,0xE51B,8.0822,155.7628
370,0xCA68,5.9451,114.5755
371,0x9E9F,2.4418,47.0589
372,0x710A,-1.2045,-23.2141
373,0x4946,-4.3849,-84.5071
374,0x2312,-7.4397,-143.3794
375,0x0CA5,-9.2319,-177.9195
376,0x07DC,-9.6128,-185.2601
377,0x138D,-8.6757,-167.2010
378,0x2A8D,-6.8344,-131.7137
379,0x5285,-3.6361,-70.0765
380,0x804E,0.0267,0.5141
381,0xA8B3,3.2576,62.7812
382,0xD270,6.5953,127.1071
383,0xED91,8.7639,168.9002
384,0xF798,9.5642,184.3233
385,0xF2ED,9.1889,177.0909
386,0xDDFF,7.5130,144.7929
387,0xBC2C,4.8061,92.6248
388,0x8FFC,1.2709,24.4923
389,0x643D,-2.2284,-42.9460
390,0x3A2A,-5.5932,-107.7938
391,0x1AAD,-8.1106,-156.3106
392,0x09C3,-9.4619,-182.3519
393,0x0899,-9.5531,-184.1098
394,0x1B11,-8.0740,-155.6039
395,0x3569,-5.9653,-114.9646
396,0x6117,-2.4704,-47.6105
397,0x8F1B,1.2106,23.3310
398,0xB6E6,4.3932,84.6662
399,0xDCF5,7.4364,143.3156
400,0xF3C6,9.2598,178.4578
401,0xF85C,9.6248,185.4912
402,0xED1C,8.7230,168.1126
403,0xD5D0,6.8579,132.1674
404,0xAD65,3.6237,69.8377
405,0x7F97,-0.0406,-0.7830
406,0x577A,-3.2490,-62.6165
407,0x2D9D,-6.5968,-127.1351
408,0x1256,-8.7772,-169.1570
409,0x0831,-9.5869,-184.7607
410,0x0C67,-9.2481,-178.2327
411,0x222D,-7.5048,-144.6339
412,0x43DF,-4.8082,-92.6645
413,0x7036,-1.2607,-24.2972
414,0x9BD0,2.2269,42.9183
415,0xC5D9,5.5886,107.7059
416,0xE577,8.1164,156.4214
417,0xF655,9.4639,182.3905
418,0xF707,9.5176,183.4258
419,0xE454,8.0201,154.5647
420,0xCA78,5.9501,114.6723
421,0x9EDC,2.4609,47.4266
422,0x70FD,-1.2086,-23.2920
423,0x4941,-4.3864,-84.5369
424,0x2326,-7.4334,-143.2586
425,0x0C89,-9.2406,-178.0877
426,0x07B8,-9.6240,-185.4765
427,0x1414,-8.6335,-166.3877
428,0x2A59,-6.8506,-132.0266
429,0x524D,-3.6536,-70.4134
430,0x8061,0.0326,0.6289
431,0xA8B2,3.2573,62.7755
432,0xD29F,6.6100,127.3905
433,0xEDB7,8.7758,169.1293
434,0xF7A6,9.5686,184.4079
435,0xF30D,9.1989,177.2838
436,0xDE0E,7.5177,144.8834
437,0xBC1D,4.8014,92.5346
438,0x8FC4,1.2534,24.1554
439,0x6441,-2.2271,-42.9217
440,0x3A36,-5.5894,-107.7213
441,0x1AC5,-8.1031,-156.1658
442,0x0A16,-9.4359,-181.8519
443,0x08A0,-9.5509,-184.0676
444,0x1B26,-8.0674,-155.4774
445,0x35AC,-5.9443,-114.5611
446,0x6157,-2.4504,-47.2251
447,0x8F17,1.2093,23.3068
448,0xB6FA,4.3994,84.7865
449,0xDCF8,7.4373,143.3336
450,0xF34D,9.2220,177.7292
451,0xF81C,9.6048,185.1059
452,0xECDC,8.7030,167.7273
453,0xD5C2,6.8535,132.0833
454,0xAD8B,3.6356,70.0667
455,0x7F93,-0.0419,-0.8069
456,0x5772,-3.2515,-62.6645
457,0x2D7A,-6.6077,-127.3457
458,0x1276,-8.7672,-168.9641
459,0x0866,-9.5703,-184.4414
460,0x0C79,-9.2425,-178.1242
461,0x21F3,-7.5229,-144.9830
462,0x4393,-4.8319,-93.1220
463,0x7048,-1.2551,-24.1886
464,0x9C23,2.2529,43.4183
465,0xC5B3,5.5768,107.4772
466,0xE56A,8.1123,156.3433
467,0xF6A9,9.4901,182.8965
468,0xF7A6,9.5673,184.3833
469,0xE431,8.0091,154.3539
470,0xCA5E,5.9420,114.5157
471,0x9EC3,2.4531,47.2760
472,0x70F9,-1.2098,-23.3161
473,0x4932,-4.3911,-84.6272
474,0x2309,-7.4425,-143.4332
475,0x0D54,-9.1772,-176.8653
476,0x07D7,-9.6143,-185.2900
477,0x1372,-8.6841,-167.3634
478,0x29E5,-6.8868,-132.7250
479,0x529E,-3.6283,-69.9255
480,0x806B,0.0358,0.6892
481,0xA8E0,3.2717,63.0525
482,0xD260,6.5904,127.0111
483,0xED83,8.7595,168.8163
484,0xF777,9.5539,184.1250
485,0xF440,9.2948,179.1326
486,0xDDE5,7.5049,144.6364
487,0xBBFF,4.7921,92.3539
488,0x8FCD,1.2562,24.2094
489,0x6419,-2.2396,-43.1627
490,0x3A24,-5.5951,-107.8297
491,0x1AA1,-8.1144,-156.3827
492,0x097F,-9.4831,-182.7612
493,0x0893,-9.5549,-184.1457
494,0x1AEC,-8.0855,-155.8264
495,0x355A,-5.9699,-115.0546
496,0x6127,-2.4654,-47.5138
497,0x8F2E,1.2166,23.4457
498,0xB70B,4.4047,84.8893
499,0xDD01,7.4401,143.3881
500,0xF2A9,9.1708,176.7420
501,0xF863,9.6270,185.5340
502,0xED3D,8.7334,168.3119
503,0xD600,6.8729,132.4570
504,0xAD4B,3.6156,69.6816
505,0x7F85,-0.0462,-0.8909
506,0x5762,-3.2565,-62.7605
507,0x2D81,-6.6055,-127.3032
508,0x1273,-8.7681,-168.9818
