Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
546,0xD3AE,6.6944,335.3273
547,0xAA7D,3.3991,170.2621
548,0x7D16,-0.2331,-11.6774
549,0x54C8,-3.4575,-173.1893
550,0x2B66,-6.7681,-339.0215
551,0x121C,-8.7913,-440.3617
552,0x0870,-9.5650,-479.1195
553,0x0E8C,-9.0763,-454.6376
554,0x23B3,-7.3841,-369.8744
555,0x472E,-4.5456,-227.6945
556,0x7341,-1.0197,-51.0771
557,0x9E64,2.4313,121.7835
558,0xC882,5.8006,290.5586
559,0xE6A8,8.2125,411.3716
560,0xF696,9.4869,475.2062
561,0xF64D,9.4641,474.0635
562,0xE370,7.9550,398.4732
563,0xC7BE,5.7394,287.4905
564,0x9C19,2.2478,112.5950
565,0x6EA8,-1.3875,-69.5011
566,0x4673,-4.6041,-230.6217
567,0x21DE,-7.5306,-377.2159
568,0x0CDD,-9.2109,-461.3842
569,0x07ED,-9.6059,-481.1702
570,0x159A,-8.5119,-426.3676
571,0x2C22,-6.7094,-336.0787
572,0x552A,-3.4269,-171.6553
573,0x82D6,0.2269,11.3644
574,0xAB0F,3.4447,172.5475
575,0xD48D,6.7641,338.8180
576,0xEEA7,8.8522,443.4141
577,0xF7C8,9.5825,479.9962
578,0xF131,9.0553,453.5888
579,0xDC9F,7.4097,371.1580
580,0xB940,4.5800,229.4164
581,0x8D0C,1.0438,52.2824
582,0x61F5,-2.4034,-120.3904
583,0x37CD,-5.7759,-289.3220
584,0x19BA,-8.1819,-409.8376
585,0x09EA,-9.4469,-473.2025
586,0x09C9,-9.4572,-473.7191
587,0x1C74,-7.9637,-398.9115
588,0x3847,-5.7378,-287.4122
589,0x63AD,-2.2659,-113.5029
590,0x914A,1.3831,69.2820
591,0xB94E,4.5844,229.6355
592,0xDE13,7.5259,376.9810
593,0xF415,9.2866,465.1724
594,0xF806,9.6019,480.9667
595,0xEB6C,8.5938,430.4688
596,0xD409,6.7228,336.7518
597,0xAB28,3.4525,172.9389
598,0x7D81,-0.1997,-10.0025
599,0x5548,-3.4175,-171.1857
600,0x2BC0,-6.7400,-337.6127
601,0x1219,-8.7922,-440.4087
602,0x086A,-9.5669,-479.2135
603,0x0E56,-9.0931,-455.4829
604,0x2333,-7.4241,-371.8781
605,0x4660,-4.6100,-230.9191
606,0x728E,-1.0756,-53.8790
607,0x9E19,2.4078,120.6095
608,0xC7E6,5.7519,288.1166
609,0xE63B,8.1784,409.6653
610,0xF666,9.4719,474.4548
611,0xF6B2,9.4956,475.6445
